                                        1,,ACLBSL,,,                                        594.00,,                                        3.90,,                                        0.66,,                                        590.00,,                                        607.00,,                                        590.00,,"                                        1,040.00",,                                        590.10,
                                        2,,ADBL,,,                                        228.00,,                                        -1.00,,                                        -0.44,,                                        233.50,,                                        233.50,,                                        226.50,,"                                        25,728.00",,                                        229.00,
                                        3,,ADBLD83,,,"                                        1,008.30",,                                        -20.50,,                                        -1.99,,"                                        1,008.30",,"                                        1,008.30",,"                                        1,008.30",,                                        10.00,,"                                        1,028.80",
                                        4,,AHL,,,                                        356.40,,                                        -6.20,,                                        -1.71,,                                        369.70,,                                        375.30,,                                        356.10,,"                                        4,980.00",,                                        362.60,
                                        5,,AHPC,,,                                        294.80,,                                        -5.00,,                                        -1.67,,                                        305.70,,                                        305.70,,                                        290.50,,"                                        116,487.00",,                                        299.80,
                                        6,,AKJCL,,,                                        205.20,,                                        -3.80,,                                        -1.82,,                                        210.00,,                                        211.00,,                                        205.00,,"                                        30,881.00",,                                        209.00,
                                        7,,AKPL,,,                                        358.00,,                                        -2.70,,                                        -0.75,,                                        366.00,,                                        366.00,,                                        351.00,,"                                        79,313.00",,                                        360.70,
                                        8,,ALBSL,,,                                        721.00,,                                        -11.00,,                                        -1.50,,                                        743.00,,                                        743.00,,                                        710.40,,                                        793.00,,                                        732.00,
                                        9,,ALICL,,,                                        682.00,,                                        15.00,,                                        2.25,,                                        666.00,,                                        685.00,,                                        666.00,,"                                        94,313.00",,                                        667.00,
                                        10,,ANLB,,,"                                        2,320.10",,                                        -8.20,,                                        -0.35,,"                                        2,301.10",,"                                        2,367.00",,"                                        2,301.10",,"                                        1,223.00",,"                                        2,328.30",
                                        11,,API,,,                                        249.80,,                                        1.90,,                                        0.77,,                                        252.80,,                                        260.00,,                                        247.30,,"                                        198,066.00",,                                        247.90,
                                        12,,AVYAN,,,                                        641.10,,                                        -8.90,,                                        -1.37,,                                        639.00,,                                        663.00,,                                        639.00,,"                                        1,806.00",,                                        650.00,
                                        13,,BARUN,,,                                        257.00,,                                        0.00,,                                        0.00,,                                        252.00,,                                        265.00,,                                        247.10,,"                                        28,742.00",,                                        257.00,
                                        14,,BBC,,,"                                        3,471.00",,                                        11.00,,                                        0.32,,"                                        3,510.00",,"                                        3,510.00",,"                                        3,406.00",,                                        336.00,,"                                        3,460.00",
                                        15,,BEDC,,,                                        264.00,,                                        -7.00,,                                        -2.58,,                                        269.00,,                                        270.00,,                                        261.00,,"                                        9,747.00",,                                        271.00,
                                        16,,BFC,,,                                        322.00,,                                        -4.00,,                                        -1.23,,                                        329.20,,                                        334.50,,                                        317.00,,"                                        12,579.00",,                                        326.00,
                                        17,,BHDC,,,                                        393.00,,                                        -5.00,,                                        -1.26,,                                        390.20,,                                        402.00,,                                        385.00,,"                                        5,259.00",,                                        398.00,
                                        18,,BHL,,,                                        279.00,,                                        -1.00,,                                        -0.36,,                                        285.60,,                                        291.30,,                                        278.00,,"                                        5,612.00",,                                        280.00,
                                        19,,BHPL,,,                                        494.70,,                                        -20.30,,                                        -3.94,,                                        510.00,,                                        510.00,,                                        480.00,,"                                        4,979.00",,                                        515.00,
                                        20,,BNHC,,,                                        365.00,,                                        -5.90,,                                        -1.59,,                                        365.00,,                                        377.90,,                                        350.00,,"                                        7,050.00",,                                        370.90,
                                        21,,BNT,,,"                                        13,431.00",,                                        6.00,,                                        0.04,,"                                        13,639.90",,"                                        13,693.00",,"                                        13,431.00",,                                        315.00,,"                                        13,425.00",
                                        22,,BOKD86,,,                                        810.00,,                                        -11.00,,                                        -1.34,,                                        810.00,,                                        810.00,,                                        810.00,,                                        30.00,,                                        821.00,
